D,alpha,p_accept,quantity_mcmc,N
10,0.0001,1.0,1.4391843942959959,10
10,0.0001,0.7777777777777778,1.5514331013079858,10
10,0.0001,1.0,1.4391843942959959,10
100,0.0001,0.8888888888888888,1.4467395995349475,10
100,0.0001,1.0,1.4078718545264561,10
100,0.0001,0.8888888888888888,1.5652499144994434,10
10,0.0001,0.7676767676767676,1.6554179345616284,100
10,0.0001,0.898989898989899,1.6679828268046564,100
10,0.0001,0.7676767676767676,1.6554179345616284,100
100,0.0001,0.8484848484848485,1.5743151404918627,100
100,0.0001,0.8787878787878788,1.6187294940982966,100
100,0.0001,0.8484848484848485,1.5970790174948257,100
10,0.0001,0.8378378378378378,1.6103490480919314,1000
10,0.0001,0.8798798798798799,1.6354405528959408,1000
10,0.0001,0.8908908908908909,1.6236671047489022,1000
100,0.0001,0.8488488488488488,1.613323484511419,1000
100,0.0001,0.8608608608608609,1.6278666757862967,1000
100,0.0001,0.8728728728728729,1.6238954777250951,1000
10,0.0001,0.8825882588258825,1.6169795820135044,10000
10,0.0001,0.8768876887688769,1.6244621635641794,10000
10,0.0001,0.877987798779878,1.617467623517921,10000
100,0.0001,0.8653865386538654,1.6104068238294755,10000
100,0.0001,0.8697869786978698,1.6147240812093004,10000
100,0.0001,0.8732873287328733,1.6166012027438368,10000
10,0.0001,0.8839288392883928,1.619761762634412,100000
10,0.0001,0.8827788277882779,1.6220231011272237,100000
10,0.0001,0.8821288212882129,1.62141165456753,100000
100,0.0001,0.8729387293872939,1.613406799116277,100000
100,0.0001,0.8717687176871769,1.615737257536979,100000
100,0.0001,0.8708187081870818,1.6123589813355088,100000
